,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Average,3973334,3740179,3050335,2554069,2264806,2117389,2065423,2032140,1987063,1920104,1804953,1698892,1628234,1726799,1096127,1082963,1753737,805350,1520894,1333858,1207014,1075183,983811,900059,885522
California,821003,787635,683438,591812,498414,468747,462328,449650,456666,463569,449971,471955,486066,532907,320800,322428,577357,249167,517963,448134,402558,350681,316590,284385,269611
